sample_id value control batch marker type flagged_batch batch_effect cols
PTLG033_Unstim_Control_2 1.2956741183891376 Unstim_Control_2 PTLG033 CD66 -MFI none 0 #AEAEAE
PTLG034_IFNa_LPS_Control_1 1.245807501312059 IFNa_LPS_Control_1 PTLG034 CD66 -MFI none 0 #AEAEAE
PTLG034_IFNa_LPS_Control_2 1.3031268045517248 IFNa_LPS_Control_2 PTLG034 CD66 -MFI none 0 #AEAEAE
PTLG034_Unstim_Control_1 1.187639874573459 Unstim_Control_1 PTLG034 CD66 -MFI none 0 #AEAEAE
PTLG034_Unstim_Control_2 1.2648628102131418 Unstim_Control_2 PTLG034 CD66 -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_1 0.08092052149761975 IFNa_LPS_Control_1 PTLG021 CD7 -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_2 0.10856325515907828 IFNa_LPS_Control_2 PTLG021 CD7 -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_1 0.07767721811013498 Unstim_Control_1 PTLG021 CD7 -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_2 0.12014367488920072 Unstim_Control_2 PTLG021 CD7 -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_1 0.0637720019130489 IFNa_LPS_Control_1 PTLG025 CD7 -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_2 0.09909545513709457 IFNa_LPS_Control_2 PTLG025 CD7 -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_1 0.0608581314320489 Unstim_Control_1 PTLG025 CD7 -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_2 0.09679023112846358 Unstim_Control_2 PTLG025 CD7 -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_1 0.05836931135495861 IFNa_LPS_Control_1 PTLG026 CD7 -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_2 0.09210946096687828 IFNa_LPS_Control_2 PTLG026 CD7 -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_1 0.06112426870829395 Unstim_Control_1 PTLG026 CD7 -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_2 0.0793550521843561 Unstim_Control_2 PTLG026 CD7 -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_1 0.0685203691588998 IFNa_LPS_Control_1 PTLG027 CD7 -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_2 0.096920638923518 IFNa_LPS_Control_2 PTLG027 CD7 -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_1 0.06546372603688018 Unstim_Control_1 PTLG027 CD7 -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_2 0.09017333888212084 Unstim_Control_2 PTLG027 CD7 -MFI none 0 #AEAEAE
PTLG028_IFNa_LPS_Control_1 0.11044738058641376 IFNa_LPS_Control_1 PTLG028 CD7 -MFI none 0 #AEAEAE
PTLG028_IFNa_LPS_Control_2 0.13386571640839862 IFNa_LPS_Control_2 PTLG028 CD7 -MFI none 0 #AEAEAE
PTLG028_Unstim_Control_1 0.09924381411005717 Unstim_Control_1 PTLG028 CD7 -MFI none 0 #AEAEAE
PTLG028_Unstim_Control_2 0.12681120782912192 Unstim_Control_2 PTLG028 CD7 -MFI none 0 #AEAEAE
PTLG030_IFNa_LPS_Control_1 0.13936759085130843 IFNa_LPS_Control_1 PTLG030 CD7 -MFI none 0 #AEAEAE
PTLG030_IFNa_LPS_Control_2 0.16650590517054992 IFNa_LPS_Control_2 PTLG030 CD7 -MFI none 0 #AEAEAE
PTLG030_Unstim_Control_1 0.12921743274557532 Unstim_Control_1 PTLG030 CD7 -MFI none 0 #AEAEAE
PTLG030_Unstim_Control_2 0.15697383116869074 Unstim_Control_2 PTLG030 CD7 -MFI none 0 #AEAEAE
PTLG031_IFNa_LPS_Control_1 0.12055239475583986 IFNa_LPS_Control_1 PTLG031 CD7 -MFI none 0 #AEAEAE
PTLG031_IFNa_LPS_Control_2 0.1471177221043992 IFNa_LPS_Control_2 PTLG031 CD7 -MFI none 0 #AEAEAE
PTLG031_Unstim_Control_1 0.11755466640705191 Unstim_Control_1 PTLG031 CD7 -MFI none 0 #AEAEAE
PTLG031_Unstim_Control_2 0.13662998179631858 Unstim_Control_2 PTLG031 CD7 -MFI none 0 #AEAEAE
PTLG032_IFNa_LPS_Control_1 0.1613322600201361 IFNa_LPS_Control_1 PTLG032 CD7 -MFI none 0 #AEAEAE
PTLG032_IFNa_LPS_Control_2 0.19646667140035345 IFNa_LPS_Control_2 PTLG032 CD7 -MFI none 0 #AEAEAE
PTLG032_Unstim_Control_1 0.17116836313978068 Unstim_Control_1 PTLG032 CD7 -MFI none 0 #AEAEAE
PTLG032_Unstim_Control_2 0.1920984228926354 Unstim_Control_2 PTLG032 CD7 -MFI none 0 #AEAEAE
PTLG033_IFNa_LPS_Control_1 0.179311556072891 IFNa_LPS_Control_1 PTLG033 CD7 -MFI none 0 #AEAEAE
PTLG033_IFNa_LPS_Control_2 0.2263949845601118 IFNa_LPS_Control_2 PTLG033 CD7 -MFI none 0 #AEAEAE
PTLG033_Unstim_Control_1 0.15769390102549496 Unstim_Control_1 PTLG033 CD7 -MFI none 0 #AEAEAE
PTLG033_Unstim_Control_2 0.199961130629139 Unstim_Control_2 PTLG033 CD7 -MFI none 0 #AEAEAE
PTLG034_IFNa_LPS_Control_1 0.14666452278920478 IFNa_LPS_Control_1 PTLG034 CD7 -MFI none 0 #AEAEAE
PTLG034_IFNa_LPS_Control_2 0.19401071684094973 IFNa_LPS_Control_2 PTLG034 CD7 -MFI none 0 #AEAEAE
PTLG034_Unstim_Control_1 0.13389235898098703 Unstim_Control_1 PTLG034 CD7 -MFI none 0 #AEAEAE
PTLG034_Unstim_Control_2 0.16661946457205978 Unstim_Control_2 PTLG034 CD7 -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_1 3.8975646173573844 IFNa_LPS_Control_1 PTLG021 CD19 -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_2 4.137412427338193 IFNa_LPS_Control_2 PTLG021 CD19 -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_1 3.9631097073255024 Unstim_Control_1 PTLG021 CD19 -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_2 4.220880063721787 Unstim_Control_2 PTLG021 CD19 -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_1 3.929163426266146 IFNa_LPS_Control_1 PTLG025 CD19 -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_2 4.158899101049366 IFNa_LPS_Control_2 PTLG025 CD19 -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_1 3.9855061387992614 Unstim_Control_1 PTLG025 CD19 -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_2 4.205707009492961 Unstim_Control_2 PTLG025 CD19 -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_1 3.6651967022919694 IFNa_LPS_Control_1 PTLG026 CD19 -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_2 4.010219897372585 IFNa_LPS_Control_2 PTLG026 CD19 -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_1 3.6430756688325916 Unstim_Control_1 PTLG026 CD19 -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_2 3.9850138799849253 Unstim_Control_2 PTLG026 CD19 -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_1 3.911928318359419 IFNa_LPS_Control_1 PTLG027 CD19 -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_2 4.126389828395358 IFNa_LPS_Control_2 PTLG027 CD19 -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_1 3.865286711712743 Unstim_Control_1 PTLG027 CD19 -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_2 4.190801090678592 Unstim_Control_2 PTLG027 CD19 -MFI none 0 #AEAEAE
PTLG028_IFNa_LPS_Control_1 3.8018713504966426 IFNa_LPS_Control_1 PTLG028 CD19 -MFI none 0 #AEAEAE
PTLG028_IFNa_LPS_Control_2 3.9600209373010573 IFNa_LPS_Control_2 PTLG028 CD19 -MFI none 0 #AEAEAE
PTLG028_Unstim_Control_1 3.5950336415412014 Unstim_Control_1 PTLG028 CD19 -MFI none 0 #AEAEAE
PTLG028_Unstim_Control_2 3.9699943218348617 Unstim_Control_2 PTLG028 CD19 -MFI none 0 #AEAEAE
PTLG030_IFNa_LPS_Control_1 3.9155441769820767 IFNa_LPS_Control_1 PTLG030 CD19 -MFI none 0 #AEAEAE
PTLG030_IFNa_LPS_Control_2 4.0898630929087485 IFNa_LPS_Control_2 PTLG030 CD19 -MFI none 0 #AEAEAE
PTLG030_Unstim_Control_1 3.7345671053652643 Unstim_Control_1 PTLG030 CD19 -MFI none 0 #AEAEAE
PTLG030_Unstim_Control_2 4.082266487792299 Unstim_Control_2 PTLG030 CD19 -MFI none 0 #AEAEAE
PTLG031_IFNa_LPS_Control_1 3.771008753162254 IFNa_LPS_Control_1 PTLG031 CD19 -MFI none 0 #AEAEAE
PTLG031_IFNa_LPS_Control_2 3.9547930745264175 IFNa_LPS_Control_2 PTLG031 CD19 -MFI none 0 #AEAEAE
PTLG031_Unstim_Control_1 3.701238102247352 Unstim_Control_1 PTLG031 CD19 -MFI none 0 #AEAEAE
PTLG031_Unstim_Control_2 3.9612007610149975 Unstim_Control_2 PTLG031 CD19 -MFI none 0 #AEAEAE
PTLG032_IFNa_LPS_Control_1 3.7734729376208604 IFNa_LPS_Control_1 PTLG032 CD19 -MFI none 0 #AEAEAE
PTLG032_IFNa_LPS_Control_2 4.0523226936881045 IFNa_LPS_Control_2 PTLG032 CD19 -MFI none 0 #AEAEAE
PTLG032_Unstim_Control_1 3.805893990880888 Unstim_Control_1 PTLG032 CD19 -MFI none 0 #AEAEAE
PTLG032_Unstim_Control_2 4.010183559096424 Unstim_Control_2 PTLG032 CD19 -MFI none 0 #AEAEAE
PTLG033_IFNa_LPS_Control_1 3.5226124435582316 IFNa_LPS_Control_1 PTLG033 CD19 -MFI none 0 #AEAEAE
PTLG033_IFNa_LPS_Control_2 4.107234426402745 IFNa_LPS_Control_2 PTLG033 CD19 -MFI none 0 #AEAEAE
PTLG033_Unstim_Control_1 3.727531021724417 Unstim_Control_1 PTLG033 CD19 -MFI none 0 #AEAEAE
PTLG033_Unstim_Control_2 4.028491216939287 Unstim_Control_2 PTLG033 CD19 -MFI none 0 #AEAEAE
PTLG034_IFNa_LPS_Control_1 3.5876372945647335 IFNa_LPS_Control_1 PTLG034 CD19 -MFI none 0 #AEAEAE
PTLG034_IFNa_LPS_Control_2 4.10995174620803 IFNa_LPS_Control_2 PTLG034 CD19 -MFI none 0 #AEAEAE
PTLG034_Unstim_Control_1 3.7976513138972803 Unstim_Control_1 PTLG034 CD19 -MFI none 0 #AEAEAE
PTLG034_Unstim_Control_2 4.064972757851434 Unstim_Control_2 PTLG034 CD19 -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_1 2.988165332390534 IFNa_LPS_Control_1 PTLG021 CD45RA -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_2 3.0305796283919353 IFNa_LPS_Control_2 PTLG021 CD45RA -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_1 2.9559619033723274 Unstim_Control_1 PTLG021 CD45RA -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_2 3.1401829221482527 Unstim_Control_2 PTLG021 CD45RA -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_1 3.017175320586908 IFNa_LPS_Control_1 PTLG025 CD45RA -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_2 3.0577177730112197 IFNa_LPS_Control_2 PTLG025 CD45RA -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_1 2.975565263278608 Unstim_Control_1 PTLG025 CD45RA -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_2 3.064019191706423 Unstim_Control_2 PTLG025 CD45RA -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_1 2.921115842493208 IFNa_LPS_Control_1 PTLG026 CD45RA -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_2 3.0087982165582794 IFNa_LPS_Control_2 PTLG026 CD45RA -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_1 2.928067245926832 Unstim_Control_1 PTLG026 CD45RA -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_2 2.9028960596474436 Unstim_Control_2 PTLG026 CD45RA -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_1 2.9666596030862924 IFNa_LPS_Control_1 PTLG027 CD45RA -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_2 2.99898166512708 IFNa_LPS_Control_2 PTLG027 CD45RA -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_1 2.8825331433225294 Unstim_Control_1 PTLG027 CD45RA -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_2 3.001195265847044 Unstim_Control_2 PTLG027 CD45RA -MFI none 0 #AEAEAE
PTLG028_IFNa_LPS_Control_1 2.893224146920651 IFNa_LPS_Control_1 PTLG028 CD45RA -MFI none 0 #AEAEAE
PTLG028_IFNa_LPS_Control_2 2.721601669787793 IFNa_LPS_Control_2 PTLG028 CD45RA -MFI none 0 #AEAEAE
PTLG028_Unstim_Control_1 2.54723762069107 Unstim_Control_1 PTLG028 CD45RA -MFI none 0 #AEAEAE
PTLG028_Unstim_Control_2 2.574668503887344 Unstim_Control_2 PTLG028 CD45RA -MFI none 0 #AEAEAE
PTLG030_IFNa_LPS_Control_1 2.9376691554702368 IFNa_LPS_Control_1 PTLG030 CD45RA -MFI none 0 #AEAEAE
PTLG030_IFNa_LPS_Control_2 2.8556184174656654 IFNa_LPS_Control_2 PTLG030 CD45RA -MFI none 0 #AEAEAE
PTLG030_Unstim_Control_1 2.6140826179797054 Unstim_Control_1 PTLG030 CD45RA -MFI none 0 #AEAEAE
PTLG030_Unstim_Control_2 2.6179768025633967 Unstim_Control_2 PTLG030 CD45RA -MFI none 0 #AEAEAE
PTLG031_IFNa_LPS_Control_1 2.8728301113543537 IFNa_LPS_Control_1 PTLG031 CD45RA -MFI none 0 #AEAEAE
PTLG031_IFNa_LPS_Control_2 2.7726000742056525 IFNa_LPS_Control_2 PTLG031 CD45RA -MFI none 0 #AEAEAE
PTLG031_Unstim_Control_1 2.784271131225465 Unstim_Control_1 PTLG031 CD45RA -MFI none 0 #AEAEAE
PTLG031_Unstim_Control_2 2.699295595088251 Unstim_Control_2 PTLG031 CD45RA -MFI none 0 #AEAEAE
PTLG032_IFNa_LPS_Control_1 2.884812507083998 IFNa_LPS_Control_1 PTLG032 CD45RA -MFI none 0 #AEAEAE
PTLG032_IFNa_LPS_Control_2 2.89190275336875 IFNa_LPS_Control_2 PTLG032 CD45RA -MFI none 0 #AEAEAE
PTLG032_Unstim_Control_1 2.8701420213651994 Unstim_Control_1 PTLG032 CD45RA -MFI none 0 #AEAEAE
PTLG032_Unstim_Control_2 2.7759031038657764 Unstim_Control_2 PTLG032 CD45RA -MFI none 0 #AEAEAE
PTLG033_IFNa_LPS_Control_1 2.6843369138263213 IFNa_LPS_Control_1 PTLG033 CD45RA -MFI PTLG033 1 #8E000C
PTLG033_IFNa_LPS_Control_2 2.8924025065725987 IFNa_LPS_Control_2 PTLG033 CD45RA -MFI none 0 #AEAEAE
PTLG033_Unstim_Control_1 2.575081926574687 Unstim_Control_1 PTLG033 CD45RA -MFI none 0 #AEAEAE
PTLG033_Unstim_Control_2 2.5360293544418675 Unstim_Control_2 PTLG033 CD45RA -MFI none 0 #AEAEAE
PTLG034_IFNa_LPS_Control_1 2.7428150077518265 IFNa_LPS_Control_1 PTLG034 CD45RA -MFI PTLG034 1 #8E000C
PTLG034_IFNa_LPS_Control_2 2.8842272180538706 IFNa_LPS_Control_2 PTLG034 CD45RA -MFI none 0 #AEAEAE
PTLG034_Unstim_Control_1 2.6209994745073404 Unstim_Control_1 PTLG034 CD45RA -MFI none 0 #AEAEAE
PTLG034_Unstim_Control_2 2.592587024952334 Unstim_Control_2 PTLG034 CD45RA -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_1 0.7910330365001574 IFNa_LPS_Control_1 PTLG021 CD11b -MFI none 0 #AEAEAE
PTLG021_IFNa_LPS_Control_2 1.0969229533415623 IFNa_LPS_Control_2 PTLG021 CD11b -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_1 0.7913292543595354 Unstim_Control_1 PTLG021 CD11b -MFI none 0 #AEAEAE
PTLG021_Unstim_Control_2 1.1038535802656633 Unstim_Control_2 PTLG021 CD11b -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_1 0.8495201647562525 IFNa_LPS_Control_1 PTLG025 CD11b -MFI none 0 #AEAEAE
PTLG025_IFNa_LPS_Control_2 1.1946606391639862 IFNa_LPS_Control_2 PTLG025 CD11b -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_1 0.8519791217843123 Unstim_Control_1 PTLG025 CD11b -MFI none 0 #AEAEAE
PTLG025_Unstim_Control_2 1.159002235260861 Unstim_Control_2 PTLG025 CD11b -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_1 0.8553971942279022 IFNa_LPS_Control_1 PTLG026 CD11b -MFI none 0 #AEAEAE
PTLG026_IFNa_LPS_Control_2 1.1401099790457607 IFNa_LPS_Control_2 PTLG026 CD11b -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_1 0.8309413728158421 Unstim_Control_1 PTLG026 CD11b -MFI none 0 #AEAEAE
PTLG026_Unstim_Control_2 1.100424128765738 Unstim_Control_2 PTLG026 CD11b -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_1 0.910844371142078 IFNa_LPS_Control_1 PTLG027 CD11b -MFI none 0 #AEAEAE
PTLG027_IFNa_LPS_Control_2 1.203520799921104 IFNa_LPS_Control_2 PTLG027 CD11b -MFI none 0 #AEAEAE
PTLG027_Unstim_Control_1 0.8876706959464833 Unstim_Control_1 PTLG027 CD11b -MFI none 0 #AEAEAE
